駅名,緯度,経度
大宮,35.9064,139.6238
さいたま新都心,35.8939,139.6336
与野,35.8841,139.6381
北浦和,35.8727,139.6451
浦和,35.8586,139.6455
南浦和,35.8482,139.6727
蕨,35.8277,139.6886
西川口,35.8150,139.7043
川口,35.8078,139.7191
赤羽,35.7776,139.7210
東十条,35.7628,139.7213
王子,35.7508,139.7378
上中里,35.7411,139.7419
田端,35.7382,139.7611
西日暮里,35.7321,139.7666
日暮里,35.7277,139.7708
鶯谷,35.7197,139.7791
上野,35.7140,139.7774
御徒町,35.7072,139.7744
秋葉原,35.6984,139.7731
神田,35.6916,139.7708
東京,35.6812,139.7671
有楽町,35.6751,139.7636
新橋,35.6658,139.7585
浜松町,35.6553,139.7568
田町,35.6452,139.7475
高輪ゲートウェイ,35.6383,139.7417
品川,35.6285,139.7389
大井町,35.6056,139.7350
大森,35.5891,139.7271
蒲田,35.5617,139.7159
川崎,35.5308,139.6973
鶴見,35.5080,139.6787
新子安,35.4900,139.6560
東神奈川,35.4777,139.6336
横浜,35.4659,139.6222
