駅名,緯度,経度
大宮,35.9064,139.6238
さいたま新都心,35.8939,139.6336
浦和,35.8586,139.6455
赤羽,35.7776,139.7210
尾久,35.7461,139.7547
上野,35.7140,139.7774
東京,35.6812,139.7671
新橋,35.6658,139.7585
品川,35.6285,139.7389
川崎,35.5308,139.6973
横浜,35.4659,139.6222
戸塚,35.4006,139.5342
大船,35.3588,139.5314
藤沢,35.3388,139.4890
辻堂,35.3369,139.4468
茅ケ崎,35.3301,139.4069
平塚,35.3271,139.3500
大磯,35.3111,139.3140
二宮,35.2997,139.2555
国府津,35.2809,139.2074
鴨宮,35.2761,139.1774
小田原,35.2564,139.1546
早川,35.2447,139.1504
根府川,35.1904,139.1392
真鶴,35.1565,139.1370
湯河原,35.1455,139.1020
熱海,35.1035,139.0773
